fruit,category,image,method,intensity_weight,cosine_weight,iou,dice,precision,recall
Orange,Ripe,Orange_Ripe_084.jpg,Cosine-Guided Otsu + Morphology,,,0.0,0.0,0.0,0.0
Orange,Ripe,Orange_Ripe_084.jpg,Weighted Otsu-Cosine (0.8/0.2) + Morphology,0.8,0.2,0.0,0.0,0.0,0.0
Orange,Ripe,Orange_Ripe_084.jpg,Weighted Otsu-Cosine (0.7/0.3) + Morphology,0.7,0.3,0.0,0.0,0.0,0.0
Orange,Ripe,Orange_Ripe_084.jpg,Weighted Otsu-Cosine (0.6/0.4) + Morphology,0.6,0.4,0.0,0.0,0.0,0.0
Orange,Ripe,Orange_Ripe_084.jpg,Weighted Otsu-Cosine (0.5/0.5) + Morphology,0.5,0.5,0.0,0.0,0.0,0.0
Orange,Overripe,Orange_Overripe_084.jpg,Original Otsu,,,0.4803573961140264,0.6489748994060165,0.5959487100534454,0.712359018850067
Orange,Overripe,Orange_Overripe_084.jpg,Otsu + Morphology 7x7,,,0.48090163496948884,0.6494714079769341,0.597991283764352,0.7106501564266372
Orange,Overripe,Orange_Overripe_084.jpg,Cosine-Guided Otsu + Morphology,,,0.013143106177030529,0.025945211682137197,0.09342899070601664,0.01506427951731209
Orange,Overripe,Orange_Overripe_084.jpg,Weighted Otsu-Cosine (0.8/0.2) + Morphology,0.8,0.2,0.3952115136325663,0.5665255909530096,0.5872312813857699,0.5472303283644873
Orange,Overripe,Orange_Overripe_084.jpg,Weighted Otsu-Cosine (0.7/0.3) + Morphology,0.7,0.3,0.39126296754544587,0.5624572444930908,0.5863977405642884,0.540394878670768
Orange,Overripe,Orange_Overripe_084.jpg,Weighted Otsu-Cosine (0.6/0.4) + Morphology,0.6,0.4,0.3865387549588038,0.557559251158888,0.5847037101148231,0.5328233036254174
Orange,Overripe,Orange_Overripe_084.jpg,Weighted Otsu-Cosine (0.5/0.5) + Morphology,0.5,0.5,0.3796282129742962,0.5503340818985832,0.5820943667341134,0.5218602939243369
Orange,Rotten,Orange_Rotten_084.jpg,Original Otsu,,,0.7390036855779107,0.8499161809795968,0.8815791844604213,0.8204487523477327
Orange,Rotten,Orange_Rotten_084.jpg,Otsu + Morphology 7x7,,,0.7438697463082166,0.8531253528344002,0.8848253373448394,0.8236181915749933
Orange,Rotten,Orange_Rotten_084.jpg,Cosine-Guided Otsu + Morphology,,,0.1420894023103968,0.24882360701877831,0.9885847408270239,0.14232291387174673
Orange,Rotten,Orange_Rotten_084.jpg,Weighted Otsu-Cosine (0.8/0.2) + Morphology,0.8,0.2,0.49967544896226884,0.6663781144220632,0.9852000131263742,0.5034545210625168
Orange,Rotten,Orange_Rotten_084.jpg,Weighted Otsu-Cosine (0.7/0.3) + Morphology,0.7,0.3,0.547013945448199,0.7071868318416726,0.984121288238988,0.5518848940166353
Orange,Rotten,Orange_Rotten_084.jpg,Weighted Otsu-Cosine (0.6/0.4) + Morphology,0.6,0.4,0.5349323942726155,0.6970110166006537,0.9826081650088485,0.540045613093641
Orange,Rotten,Orange_Rotten_084.jpg,Weighted Otsu-Cosine (0.5/0.5) + Morphology,0.5,0.5,0.48258409253082424,0.6510040070739406,0.9788286772130596,0.48767440300509796
Peach,Ripe,Peach_Ripe_084.jpg,Original Otsu,,,0.1371467459436226,0.2412120448532191,0.1371467459436226,1.0
Peach,Ripe,Peach_Ripe_084.jpg,Otsu + Morphology 7x7,,,0.13995906133489291,0.24555103087825056,0.13995906133489291,1.0
Peach,Ripe,Peach_Ripe_084.jpg,Cosine-Guided Otsu + Morphology,,,0.22071696540225094,0.3616185760628308,0.23118905545044388,0.8297205536693654
Peach,Ripe,Peach_Ripe_084.jpg,Weighted Otsu-Cosine (0.8/0.2) + Morphology,0.8,0.2,0.2314426408900237,0.37588862559241704,0.23175260242284046,0.9942543745103161
Peach,Ripe,Peach_Ripe_084.jpg,Weighted Otsu-Cosine (0.7/0.3) + Morphology,0.7,0.3,0.21457581227436823,0.35333457180011146,0.21487883409591593,0.9934708801253591
Peach,Ripe,Peach_Ripe_084.jpg,Weighted Otsu-Cosine (0.6/0.4) + Morphology,0.6,0.4,0.15903392946682265,0.27442497656644316,0.15918691706052115,0.9939932097153303
Peach,Ripe,Peach_Ripe_084.jpg,Weighted Otsu-Cosine (0.5/0.5) + Morphology,0.5,0.5,0.15810805164417333,0.2730454233863694,0.15840589417280643,0.9882475842256464
Peach,Overripe,Peach_Overripe_084.jpg,Original Otsu,,,0.09610207655741806,0.17535242129866335,0.09830577877872754,0.810858735117791
Peach,Overripe,Peach_Overripe_084.jpg,Otsu + Morphology 7x7,,,0.09610225816784113,0.17535272361992604,0.09830845159836989,0.8106898589884319
Peach,Overripe,Peach_Overripe_084.jpg,Cosine-Guided Otsu + Morphology,,,0.35720336590049134,0.5263814913448736,0.5189104930675199,0.5340707590982015
Peach,Overripe,Peach_Overripe_084.jpg,Weighted Otsu-Cosine (0.8/0.2) + Morphology,0.8,0.2,0.15391555696646672,0.26677091930556157,0.16099265990912268,0.7778434518280841
Peach,Overripe,Peach_Overripe_084.jpg,Weighted Otsu-Cosine (0.7/0.3) + Morphology,0.7,0.3,0.18614883305489852,0.31387095424690775,0.18798022315761342,0.9502659799037406
Peach,Overripe,Peach_Overripe_084.jpg,Weighted Otsu-Cosine (0.6/0.4) + Morphology,0.6,0.4,0.19121132430765234,0.3210367806380398,0.19141018557639183,0.9945959638605083
Peach,Overripe,Peach_Overripe_084.jpg,Weighted Otsu-Cosine (0.5/0.5) + Morphology,0.5,0.5,0.20263975155279504,0.3369916074887024,0.2029829594552556,0.9917250696614034
Peach,Rotten,Peach_Rotten_084.jpg,Original Otsu,,,0.1982574204474552,0.3309095642794711,0.20541177013829567,0.8505736137667304
Peach,Rotten,Peach_Rotten_084.jpg,Otsu + Morphology 7x7,,,0.20180024548802108,0.33582992888485397,0.20932754880694143,0.8487571701720842
Peach,Rotten,Peach_Rotten_084.jpg,Cosine-Guided Otsu + Morphology,,,0.18524470416362307,0.3125847405398743,0.2306293197526373,0.4848948374760994
Peach,Rotten,Peach_Rotten_084.jpg,Weighted Otsu-Cosine (0.8/0.2) + Morphology,0.8,0.2,0.09113115370161594,0.16703977957637334,0.11935034041506029,0.27820267686424477
Peach,Rotten,Peach_Rotten_084.jpg,Weighted Otsu-Cosine (0.7/0.3) + Morphology,0.7,0.3,0.12410063372563968,0.22079986435792553,0.14184570977316668,0.4979923518164436
