fruit,category,image,method,iou,dice,precision,recall
Peach,Ripe,Peach_Ripe_084.jpg,MC-BCS A,0.19559552398957641,0.32719346980640196,0.19560551865099643,0.9997388352050144
Peach,Ripe,Peach_Ripe_084.jpg,MC-BCS B,0.13879119683840324,0.24375179088796206,0.1387962291515591,0.9997388352050144
Peach,Ripe,Peach_Ripe_084.jpg,MC-BCS C,0.2071092355137153,0.34314911926852226,0.20712044151065903,0.9997388352050144
Peach,Ripe,Peach_Ripe_084.jpg,MC-BCS D,0.2056406124093473,0.3411308648576393,0.2056516600408295,0.9997388352050144
Peach,Overripe,Peach_Overripe_084.jpg,Original Otsu,0.09610207655741806,0.17535242129866335,0.09830577877872754,0.810858735117791
Peach,Overripe,Peach_Overripe_084.jpg,Otsu + Morphology 7x7,0.09610225816784113,0.17535272361992604,0.09830845159836989,0.8106898589884319
Peach,Overripe,Peach_Overripe_084.jpg,MC-BCS A,0.16378916471679567,0.2814756653223408,0.1638186501232448,0.9989023051591658
Peach,Overripe,Peach_Overripe_084.jpg,MC-BCS B,0.16307420738350364,0.280419265337096,0.16311469756534933,0.9984801148357679
Peach,Overripe,Peach_Overripe_084.jpg,MC-BCS C,0.14177401652128704,0.24833988945244811,0.14604718974084321,0.8289284809592165
Peach,Overripe,Peach_Overripe_084.jpg,MC-BCS D,0.13622135431623686,0.23977960596984746,0.1409909642135299,0.8010639196149624
Peach,Rotten,Peach_Rotten_084.jpg,Original Otsu,0.1982574204474552,0.3309095642794711,0.20541177013829567,0.8505736137667304
Peach,Rotten,Peach_Rotten_084.jpg,Otsu + Morphology 7x7,0.20180024548802108,0.33582992888485397,0.20932754880694143,0.8487571701720842
Peach,Rotten,Peach_Rotten_084.jpg,MC-BCS A,0.13450140687673365,0.23711104466060404,0.1452868013192214,0.6443594646271511
Peach,Rotten,Peach_Rotten_084.jpg,MC-BCS B,0.13214694392929013,0.23344486267949255,0.14274145426647344,0.6403441682600383
Peach,Rotten,Peach_Rotten_084.jpg,MC-BCS C,0.15783546370854215,0.2726388483610544,0.1828202452387164,0.5359464627151052
Peach,Rotten,Peach_Rotten_084.jpg,MC-BCS D,0.15652879156528793,0.270687237026648,0.18116786431022205,0.5350860420650095
Pear,Ripe,Pear_Ripe_047.jpg,Original Otsu,0.059772585846014595,0.11280266473075116,0.06050922585300485,0.8307910048749804
Pear,Ripe,Pear_Ripe_047.jpg,Otsu + Morphology 7x7,0.06059054446151221,0.11425812681042806,0.06131190199306859,0.837395816952351
Pear,Ripe,Pear_Ripe_047.jpg,MC-BCS A,0.06948266666666666,0.12993696640868108,0.07440659767436547,0.512187450857053
Pear,Ripe,Pear_Ripe_047.jpg,MC-BCS B,0.07700744938531146,0.1430026309089366,0.0826527358791357,0.5299575404937883
Pear,Ripe,Pear_Ripe_047.jpg,MC-BCS C,0.060149792386200475,0.11347413887770416,0.06421011205700201,0.48749803428211985
Pear,Ripe,Pear_Ripe_047.jpg,MC-BCS D,0.05346853710222596,0.10150950924325043,0.05675459632294165,0.48010693505268126
Pear,Overripe,Pear_Overripe_032.jpg,Original Otsu,0.28167887567128364,0.43954672425064883,0.3319469172189889,0.6503590795837608
Pear,Overripe,Pear_Overripe_032.jpg,Otsu + Morphology 7x7,0.2874884944968044,0.4465880599720077,0.3401331329181877,0.6500366407738531
Pear,Overripe,Pear_Overripe_032.jpg,MC-BCS A,0.34891346526969347,0.517325201731801,0.5078795752372345,0.5271288289608677
Pear,Overripe,Pear_Overripe_032.jpg,MC-BCS B,0.36150946574852066,0.5310421628978872,0.562133665149481,0.5032097317895354
Pear,Overripe,Pear_Overripe_032.jpg,MC-BCS C,0.3213182630181812,0.4863601329239478,0.4274229368393,0.5641506668620841
Pear,Overripe,Pear_Overripe_032.jpg,MC-BCS D,0.31696195935383015,0.48135324957958253,0.416279915306799,0.5705408178220724
Pear,Rotten,Pear_Rotten_084.jpg,Original Otsu,0.07756754936947509,0.1439678643160009,0.1128463476070529,0.1987920621225194
Pear,Rotten,Pear_Rotten_084.jpg,Otsu + Morphology 7x7,0.07523024253821303,0.13993327114874077,0.10998012152655398,0.192308640453593
Pear,Rotten,Pear_Rotten_084.jpg,MC-BCS A,0.017612566571628383,0.034615465944894376,0.030305274265509007,0.040354985825218785
Pear,Rotten,Pear_Rotten_084.jpg,MC-BCS B,0.015021574682836021,0.029598532794792694,0.025965329960568412,0.03441390361148774
Pear,Rotten,Pear_Rotten_084.jpg,MC-BCS C,0.007936334179875645,0.015747689433843415,0.014074390433297095,0.01787255022802909
Pear,Rotten,Pear_Rotten_084.jpg,MC-BCS D,0.010674323539404035,0.021123171511911603,0.01885550565277993,0.024010846789103906
