fruit,category,image,method,window_size,darkness_weight,local_contrast_weight,iou,dice,precision,recall
Grape,Overripe,Grape_Overripe_084.jpg,Weighted Otsu-Local (0.6/0.4) 11x11,11.0,0.6,0.4,0.0030281554023580954,0.006038026721479959,0.004073319755600814,0.011663978161062167
Grape,Overripe,Grape_Overripe_084.jpg,Local Contrast-Guided Otsu (21x21),21.0,,,0.0,0.0,0.0,0.0
Grape,Overripe,Grape_Overripe_084.jpg,Weighted Otsu-Local (0.8/0.2) 21x21,21.0,0.8,0.2,0.0,0.0,0.0,0.0
Grape,Overripe,Grape_Overripe_084.jpg,Weighted Otsu-Local (0.7/0.3) 21x21,21.0,0.7,0.3,0.006651017214397496,0.013214146910221531,0.008704214257581725,0.027422757165901476
Grape,Overripe,Grape_Overripe_084.jpg,Weighted Otsu-Local (0.6/0.4) 21x21,21.0,0.6,0.4,0.027126394166898386,0.052819972928259885,0.03486063686174859,0.1089465194192828
Grape,Overripe,Grape_Overripe_084.jpg,Local Contrast-Guided Otsu (31x31),31.0,,,0.0,0.0,0.0,0.0
Grape,Overripe,Grape_Overripe_084.jpg,Weighted Otsu-Local (0.8/0.2) 31x31,31.0,0.8,0.2,0.0,0.0,0.0,0.0
Grape,Overripe,Grape_Overripe_084.jpg,Weighted Otsu-Local (0.7/0.3) 31x31,31.0,0.7,0.3,0.008694891022087358,0.017239883139047178,0.01124019312009656,0.036977292468048144
Grape,Overripe,Grape_Overripe_084.jpg,Weighted Otsu-Local (0.6/0.4) 31x31,31.0,0.6,0.4,0.029758729029580887,0.05779747855621438,0.03762695349098677,0.12458121355006825
Grape,Rotten,Grape_Rotten_064.jpg,Original Otsu,,,,0.3339821620522356,0.5007295772807457,0.33901503981126513,0.95744149246273
Grape,Rotten,Grape_Rotten_064.jpg,Otsu + Morphology 7x7,,,,0.33787592619497314,0.505093065178203,0.341638265366083,0.9684350795369367
Grape,Rotten,Grape_Rotten_064.jpg,Local Contrast-Guided Otsu (11x11),11.0,,,0.03049111645589262,0.0591778346634543,0.30823529411764705,0.03273090697093362
Grape,Rotten,Grape_Rotten_064.jpg,Weighted Otsu-Local (0.8/0.2) 11x11,11.0,0.8,0.2,0.17342571836152434,0.2955887460923932,0.22652056253049999,0.42525193637045056
Grape,Rotten,Grape_Rotten_064.jpg,Weighted Otsu-Local (0.7/0.3) 11x11,11.0,0.7,0.3,0.17260450597176982,0.29439509245059176,0.22556757715501952,0.4236695261097693
Grape,Rotten,Grape_Rotten_064.jpg,Weighted Otsu-Local (0.6/0.4) 11x11,11.0,0.6,0.4,0.17750677506775067,0.30149597238204834,0.23029930119105174,0.43641209294578165
Grape,Rotten,Grape_Rotten_064.jpg,Local Contrast-Guided Otsu (21x21),21.0,,,0.166335847558555,0.2852280462899932,0.44725137875822807,0.20937786291330057
Grape,Rotten,Grape_Rotten_064.jpg,Weighted Otsu-Local (0.8/0.2) 21x21,21.0,0.8,0.2,0.1909051766965853,0.32060516728314375,0.24066805845511482,0.4800533022403598
Grape,Rotten,Grape_Rotten_064.jpg,Weighted Otsu-Local (0.7/0.3) 21x21,21.0,0.7,0.3,0.1947595981925165,0.3260230735742273,0.2421095170741564,0.49895894061797286
Grape,Rotten,Grape_Rotten_064.jpg,Weighted Otsu-Local (0.6/0.4) 21x21,21.0,0.6,0.4,0.19689571544058204,0.32901064462095425,0.24349182228975888,0.5071208461730657
Grape,Rotten,Grape_Rotten_064.jpg,Local Contrast-Guided Otsu (31x31),31.0,,,0.17750513719327934,0.3014936098136837,0.39285714285714285,0.24460731240109937
Grape,Rotten,Grape_Rotten_064.jpg,Weighted Otsu-Local (0.8/0.2) 31x31,31.0,0.8,0.2,0.19272337801434553,0.32316525619744757,0.23999676663163852,0.49454484883817773
Grape,Rotten,Grape_Rotten_064.jpg,Weighted Otsu-Local (0.7/0.3) 31x31,31.0,0.7,0.3,0.1936155225409836,0.3244185734595885,0.2392766698322254,0.5036228866494545
Grape,Rotten,Grape_Rotten_064.jpg,Weighted Otsu-Local (0.6/0.4) 31x31,31.0,0.6,0.4,0.1927331189710611,0.32317895077371006,0.2389285287200542,0.49920879486965936
Guava,Class_A,Guava_Class_A_084.jpg,Original Otsu,,,,0.0,0.0,0.0,0.0
Guava,Class_A,Guava_Class_A_084.jpg,Otsu + Morphology 7x7,,,,0.0,0.0,0.0,0.0
Guava,Class_A,Guava_Class_A_084.jpg,Local Contrast-Guided Otsu (11x11),11.0,,,0.0,0.0,0.0,0.0
Guava,Class_A,Guava_Class_A_084.jpg,Weighted Otsu-Local (0.8/0.2) 11x11,11.0,0.8,0.2,0.0,0.0,0.0,0.0
Guava,Class_A,Guava_Class_A_084.jpg,Weighted Otsu-Local (0.7/0.3) 11x11,11.0,0.7,0.3,0.0,0.0,0.0,0.0
Guava,Class_A,Guava_Class_A_084.jpg,Weighted Otsu-Local (0.6/0.4) 11x11,11.0,0.6,0.4,0.0,0.0,0.0,0.0
Guava,Class_A,Guava_Class_A_084.jpg,Local Contrast-Guided Otsu (21x21),21.0,,,0.0,0.0,0.0,0.0
Guava,Class_A,Guava_Class_A_084.jpg,Weighted Otsu-Local (0.8/0.2) 21x21,21.0,0.8,0.2,0.0,0.0,0.0,0.0
Guava,Class_A,Guava_Class_A_084.jpg,Weighted Otsu-Local (0.7/0.3) 21x21,21.0,0.7,0.3,0.0,0.0,0.0,0.0
Guava,Class_A,Guava_Class_A_084.jpg,Weighted Otsu-Local (0.6/0.4) 21x21,21.0,0.6,0.4,0.0,0.0,0.0,0.0
Guava,Class_A,Guava_Class_A_084.jpg,Local Contrast-Guided Otsu (31x31),31.0,,,0.0,0.0,0.0,0.0
Guava,Class_A,Guava_Class_A_084.jpg,Weighted Otsu-Local (0.8/0.2) 31x31,31.0,0.8,0.2,0.0,0.0,0.0,0.0
Guava,Class_A,Guava_Class_A_084.jpg,Weighted Otsu-Local (0.7/0.3) 31x31,31.0,0.7,0.3,0.0,0.0,0.0,0.0
Guava,Class_A,Guava_Class_A_084.jpg,Weighted Otsu-Local (0.6/0.4) 31x31,31.0,0.6,0.4,0.0,0.0,0.0,0.0
Guava,Class_B,Guava_Class_B_084.jpg,Original Otsu,,,,0.4351953669085844,0.6064614991699655,0.44424904587293274,0.9552659103709068
Guava,Class_B,Guava_Class_B_084.jpg,Otsu + Morphology 7x7,,,,0.4412480637309139,0.6123138338707201,0.4489474276708319,0.9625874969828626
Guava,Class_B,Guava_Class_B_084.jpg,Local Contrast-Guided Otsu (11x11),11.0,,,0.14294083186877563,0.2501281394156843,0.6140295690468701,0.15705205567624106
Guava,Class_B,Guava_Class_B_084.jpg,Weighted Otsu-Local (0.8/0.2) 11x11,11.0,0.8,0.2,0.38018401538039,0.5509178647828467,0.7217153284671532,0.4454903853890096
Guava,Class_B,Guava_Class_B_084.jpg,Weighted Otsu-Local (0.7/0.3) 11x11,11.0,0.7,0.3,0.3400376211836203,0.5075045891372422,0.7713769899885115,0.37814787995816235
Guava,Class_B,Guava_Class_B_084.jpg,Weighted Otsu-Local (0.6/0.4) 11x11,11.0,0.6,0.4,0.20396366639141206,0.3388203017832647,0.7528401219174287,0.21860165741411217
Guava,Class_B,Guava_Class_B_084.jpg,Local Contrast-Guided Otsu (21x21),21.0,,,0.3236860681511904,0.4890677267658894,0.6152720175652598,0.4058250864912704
Guava,Class_B,Guava_Class_B_084.jpg,Weighted Otsu-Local (0.8/0.2) 21x21,21.0,0.8,0.2,0.42096741550293465,0.5925081897165646,0.7227241139680334,0.5020516533912623
Guava,Class_B,Guava_Class_B_084.jpg,Weighted Otsu-Local (0.7/0.3) 21x21,21.0,0.7,0.3,0.38827184979505486,0.5593599695223582,0.6852975495915986,0.4725239359562314
Guava,Class_B,Guava_Class_B_084.jpg,Weighted Otsu-Local (0.6/0.4) 21x21,21.0,0.6,0.4,0.3218213519313305,0.48693622850185175,0.6590222466355397,0.3861131225360045
Guava,Class_B,Guava_Class_B_084.jpg,Local Contrast-Guided Otsu (31x31),31.0,,,0.37239861678717384,0.5426974528129008,0.630173422704543,0.47654678574302034
Guava,Class_B,Guava_Class_B_084.jpg,Weighted Otsu-Local (0.8/0.2) 31x31,31.0,0.8,0.2,0.4180863241532557,0.5896486229819563,0.7193836171938361,0.4995574865234532
Guava,Class_B,Guava_Class_B_084.jpg,Weighted Otsu-Local (0.7/0.3) 31x31,31.0,0.7,0.3,0.3842197773582449,0.5551427362084372,0.6681005207154177,0.474857188832569
Guava,Class_B,Guava_Class_B_084.jpg,Weighted Otsu-Local (0.6/0.4) 31x31,31.0,0.6,0.4,0.3509773055227601,0.5195902315871244,0.6551175318315378,0.43052538418215464
Guava,Defect,Guava_Defect_084.jpg,Original Otsu,,,,0.3246177433389964,0.49013044702349295,0.35604235786029176,0.7862304295463669
Guava,Defect,Guava_Defect_084.jpg,Otsu + Morphology 7x7,,,,0.321197276652275,0.48622152395915164,0.35391793605050087,0.7764953833801687
Guava,Defect,Guava_Defect_084.jpg,Local Contrast-Guided Otsu (11x11),11.0,,,0.2473133618640038,0.3965536960085395,0.8251626209741393,0.26098956242472904
