fruit,category,image,method,gt_damage_percentage,raw_damage_percentage,predicted_damage_percentage,absolute_error,intensity_weight,colour_weight,texture_weight
Guava,Class_B,Guava_Class_B_084,AWDP_A,10.054198349781588,21.799061640511244,10.559147993852127,0.504949644070539,0.5,0.3,0.2
Guava,Class_B,Guava_Class_B_084,AWDP_B,10.054198349781588,21.799061640511244,11.567407301609773,1.5132089518281848,0.4,0.4,0.2
Guava,Class_B,Guava_Class_B_084,AWDP_C,10.054198349781588,21.799061640511244,10.944235295158549,0.890036945376961,0.4,0.3,0.3
Guava,Class_B,Guava_Class_B_084,AWDP_D,10.054198349781588,21.799061640511244,11.463063944699483,1.408865594917895,0.33,0.34,0.33
Guava,Class_B,Guava_Class_B_084,AWDP_E,10.054198349781588,21.799061640511244,12.575665819396134,2.521467469614546,0.3,0.5,0.2
Guava,Defect,Guava_Defect_084,AWDP_A,19.262295081967213,43.16134395298484,18.349467406433654,0.9128276755335598,0.5,0.3,0.2
Guava,Defect,Guava_Defect_084,AWDP_B,19.262295081967213,43.16134395298484,19.90425730503789,0.6419622230706779,0.4,0.4,0.2
Guava,Defect,Guava_Defect_084,AWDP_C,19.262295081967213,43.16134395298484,18.55205957121868,0.7102355107485323,0.4,0.3,0.3
Guava,Defect,Guava_Defect_084,AWDP_D,19.262295081967213,43.16134395298484,19.23475280251991,0.02754227944730303,0.33,0.34,0.33
Guava,Defect,Guava_Defect_084,AWDP_E,19.262295081967213,43.16134395298484,21.45904720364213,2.1967521216749155,0.3,0.5,0.2
Mango,Overripe,Mango_Overripe_084,AWDP_A,53.33374979177078,49.531484257871064,20.176162732435866,33.157587059334915,0.5,0.3,0.2
Mango,Overripe,Mango_Overripe_084,AWDP_B,53.33374979177078,49.531484257871064,21.42963959101179,31.90411020075899,0.4,0.4,0.2
Mango,Overripe,Mango_Overripe_084,AWDP_C,53.33374979177078,49.531484257871064,20.87377535190738,32.4599744398634,0.4,0.3,0.3
Mango,Overripe,Mango_Overripe_084,AWDP_D,53.33374979177078,49.531484257871064,21.584451101272283,31.749298690498495,0.33,0.34,0.33
Mango,Overripe,Mango_Overripe_084,AWDP_E,53.33374979177078,49.531484257871064,22.683116449587708,30.65063334218307,0.3,0.5,0.2
